counterfactual_group,target_object,sample_ids,states,gold_actions,step0_actions,step0_member_exact,step0_pair_exact,step0_same_actions,step11193_actions,step11193_member_exact,step11193_pair_exact,step11193_same_actions,comparison
shard_0_cf_0044,Drawer,shard_0_exp0_0406 | shard_0_exp0_0405,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_0_cf_0106,Drawer,shard_0_exp0_1115 | shard_0_exp0_1114,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_0_cf_0107,Drawer,shard_0_exp0_1117 | shard_0_exp0_1116,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_0_cf_0108,Drawer,shard_0_exp0_1121 | shard_0_exp0_1120,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_0_cf_0109,Drawer,shard_0_exp0_1124 | shard_0_exp0_1123,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_0_cf_0110,Fridge,shard_0_exp0_1144 | shard_0_exp0_1143,closed | open,GotoLocation(Fridge); OpenObject(Fridge) | GotoLocation(Fridge),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Fridge); OpenObject(Fridge) | GotoLocation(Fridge),1 | 1,1,0,candidate_fixed
shard_0_cf_0111,Drawer,shard_0_exp0_1150 | shard_0_exp0_1149,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_0_cf_0114,Drawer,shard_0_exp0_1185 | shard_0_exp0_1184,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_0_cf_0119,Drawer,shard_0_exp0_1242 | shard_0_exp0_1241,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_0_cf_0120,Drawer,shard_0_exp0_1244 | shard_0_exp0_1243,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_0_cf_0121,Drawer,shard_0_exp0_1247 | shard_0_exp0_1246,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_0_cf_0122,Drawer,shard_0_exp0_1249 | shard_0_exp0_1248,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_0_cf_0123,Drawer,shard_0_exp0_1254 | shard_0_exp0_1253,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_0_cf_0124,Drawer,shard_0_exp0_1261 | shard_0_exp0_1260,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_0_cf_0127,Drawer,shard_0_exp0_1296 | shard_0_exp0_1295,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_0_cf_0157,Drawer,shard_0_exp0_1604 | shard_0_exp0_1603,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_0_cf_0164,Drawer,shard_0_exp0_1702 | shard_0_exp0_1701,closed | open,"GotoLocation(Bed); PickupObject(Book); GotoLocation(Drawer); OpenObject(Drawer); PutObject(Book,Drawer); CloseObject(Drawer) | GotoLocation(Bed); PickupObject(Book); GotoLocation(Drawer); PutObject(Book,Drawer)",<unparseable> | <unparseable>,0 | 0,0,1,"GotoLocation(Bed); PickupObject(Book); GotoLocation(Drawer); OpenObject(Drawer); PutObject(Book,Drawer); CloseObject(Drawer) | GotoLocation(Bed); PickupObject(Book); GotoLocation(Drawer); PutObject(Book,Drawer)",1 | 1,1,0,candidate_fixed
shard_0_cf_0168,Fridge,shard_0_exp0_1747 | shard_0_exp0_1746,closed | open,GotoLocation(Fridge); OpenObject(Fridge) | GotoLocation(Fridge),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Fridge); OpenObject(Fridge) | GotoLocation(Fridge),1 | 1,1,0,candidate_fixed
shard_0_cf_0169,Fridge,shard_0_exp0_1751 | shard_0_exp0_1750,closed | open,GotoLocation(Fridge); OpenObject(Fridge) | GotoLocation(Fridge),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Fridge); OpenObject(Fridge) | GotoLocation(Fridge),1 | 1,1,0,candidate_fixed
shard_0_cf_0170,Fridge,shard_0_exp0_1755 | shard_0_exp0_1754,closed | open,"GotoLocation(CounterTop); PickupObject(Potato); GotoLocation(Fridge); OpenObject(Fridge); PutObject(Potato,Fridge); CloseObject(Fridge) | GotoLocation(CounterTop); PickupObject(Potato); GotoLocation(Fridge); PutObject(Potato,Fridge)",<unparseable> | <unparseable>,0 | 0,0,1,"GotoLocation(CounterTop); PickupObject(Potato); GotoLocation(Fridge); OpenObject(Fridge); PutObject(Potato,Fridge); CloseObject(Fridge) | GotoLocation(CounterTop); PickupObject(Potato); GotoLocation(Fridge); PutObject(Potato,Fridge)",1 | 1,1,0,candidate_fixed
shard_0_cf_0175,Fridge,shard_0_exp0_1805 | shard_0_exp0_1804,closed | open,GotoLocation(Fridge); OpenObject(Fridge) | GotoLocation(Fridge),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Fridge); OpenObject(Fridge) | GotoLocation(Fridge); OpenObject(Fridge),1 | 0,0,1,both_not_exact
shard_0_cf_0218,Drawer,shard_0_exp0_2188 | shard_0_exp0_2187,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_0_cf_0219,Drawer,shard_0_exp0_2190 | shard_0_exp0_2189,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_0_cf_0220,Fridge,shard_0_exp0_2216 | shard_0_exp0_2215,closed | open,GotoLocation(Fridge); OpenObject(Fridge) | GotoLocation(Fridge),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Fridge); OpenObject(Fridge) | GotoLocation(Fridge),1 | 1,1,0,candidate_fixed
shard_0_cf_0258,Drawer,shard_0_exp0_2572 | shard_0_exp0_2571,closed | open,"GotoLocation(Desk); PickupObject(KeyChain); GotoLocation(Drawer); OpenObject(Drawer); PutObject(KeyChain,Drawer); CloseObject(Drawer) | GotoLocation(Desk); PickupObject(KeyChain); GotoLocation(Drawer); PutObject(KeyChain,Drawer)",<unparseable> | <unparseable>,0 | 0,0,1,"GotoLocation(Dresser); PickupObject(KeyChain); GotoLocation(Drawer); OpenObject(Drawer); PutObject(KeyChain,Drawer); CloseObject(Drawer) | GotoLocation(Dresser); PickupObject(KeyChain); GotoLocation(Drawer); PutObject(KeyChain,Drawer)",0 | 0,0,0,both_not_exact
shard_0_cf_0266,Drawer,shard_0_exp0_2664 | shard_0_exp0_2663,closed | open,"GotoLocation(Dresser); PickupObject(CD); GotoLocation(Drawer); OpenObject(Drawer); PutObject(CD,Drawer); CloseObject(Drawer) | GotoLocation(Dresser); PickupObject(CD); GotoLocation(Drawer); PutObject(CD,Drawer)",<unparseable> | <unparseable>,0 | 0,0,1,"GotoLocation(Dresser); PickupObject(CD); GotoLocation(Drawer); OpenObject(Drawer); PutObject(CD,Drawer); CloseObject(Drawer) | GotoLocation(Dresser); PickupObject(CD); GotoLocation(Drawer); PutObject(CD,Drawer)",1 | 1,1,0,candidate_fixed
shard_0_cf_0267,Fridge,shard_0_exp0_2681 | shard_0_exp0_2680,closed | open,GotoLocation(Fridge); OpenObject(Fridge) | GotoLocation(Fridge),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Fridge); OpenObject(Fridge) | GotoLocation(Fridge),1 | 1,1,0,candidate_fixed
shard_0_cf_0299,Drawer,shard_0_exp0_3092 | shard_0_exp0_3091,closed | open,"GotoLocation(Dresser); PickupObject(Book); GotoLocation(Drawer); OpenObject(Drawer); PutObject(Book,Drawer); CloseObject(Drawer) | GotoLocation(Dresser); PickupObject(Book); GotoLocation(Drawer); PutObject(Book,Drawer)",<unparseable> | <unparseable>,0 | 0,0,1,"GotoLocation(Dresser); PickupObject(Book); GotoLocation(Drawer); OpenObject(Drawer); PutObject(Book,Drawer); CloseObject(Drawer) | GotoLocation(Dresser); PickupObject(Book); GotoLocation(Drawer); PutObject(Book,Drawer)",1 | 1,1,0,candidate_fixed
shard_0_cf_0300,Drawer,shard_0_exp0_3096 | shard_0_exp0_3095,closed | open,"GotoLocation(Dresser); PickupObject(Book); GotoLocation(Drawer); OpenObject(Drawer); PutObject(Book,Drawer); CloseObject(Drawer) | GotoLocation(Dresser); PickupObject(Book); GotoLocation(Drawer); PutObject(Book,Drawer)",<unparseable> | <unparseable>,0 | 0,0,1,"GotoLocation(Dresser); PickupObject(Book); GotoLocation(Drawer); OpenObject(Drawer); PutObject(Book,Drawer); CloseObject(Drawer) | GotoLocation(Dresser); PickupObject(Book); GotoLocation(Drawer); PutObject(Book,Drawer)",1 | 1,1,0,candidate_fixed
shard_0_cf_0301,Drawer,shard_0_exp0_3099 | shard_0_exp0_3098,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_0_cf_0306,Fridge,shard_0_exp0_3170 | shard_0_exp0_3169,closed | open,GotoLocation(Fridge); OpenObject(Fridge) | GotoLocation(Fridge),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Fridge); OpenObject(Fridge) | GotoLocation(Fridge),1 | 1,1,0,candidate_fixed
shard_0_cf_0307,Fridge,shard_0_exp0_3177 | shard_0_exp0_3176,closed | open,GotoLocation(Fridge); OpenObject(Fridge) | GotoLocation(Fridge),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Fridge); OpenObject(Fridge) | GotoLocation(Fridge),1 | 1,1,0,candidate_fixed
shard_0_cf_0310,Drawer,shard_0_exp0_3205 | shard_0_exp0_3204,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_0_cf_0311,Fridge,shard_0_exp0_3207 | shard_0_exp0_3206,closed | open,GotoLocation(Fridge); OpenObject(Fridge) | GotoLocation(Fridge),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Fridge); OpenObject(Fridge) | GotoLocation(Fridge),1 | 1,1,0,candidate_fixed
shard_0_cf_0312,Drawer,shard_0_exp0_3210 | shard_0_exp0_3209,closed | open,"GotoLocation(CounterTop); PickupObject(Pencil); GotoLocation(Drawer); OpenObject(Drawer); PutObject(Pencil,Drawer); CloseObject(Drawer) | GotoLocation(CounterTop); PickupObject(Pencil); GotoLocation(Drawer); PutObject(Pencil,Drawer)",<unparseable> | <unparseable>,0 | 0,0,1,"GotoLocation(CounterTop); PickupObject(Pencil); GotoLocation(Drawer); OpenObject(Drawer); PutObject(Pencil,Drawer); CloseObject(Drawer) | GotoLocation(CounterTop); PickupObject(Pencil); GotoLocation(Drawer); PutObject(Pencil,Drawer)",1 | 1,1,0,candidate_fixed
shard_0_cf_0316,Drawer,shard_0_exp0_3248 | shard_0_exp0_3247,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_0_cf_0324,Drawer,shard_0_exp0_3332 | shard_0_exp0_3331,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_0_cf_0362,Drawer,shard_0_exp0_3729 | shard_0_exp0_3728,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_0_cf_0363,Drawer,shard_0_exp0_3732 | shard_0_exp0_3731,closed | open,"GotoLocation(DiningTable); PickupObject(KeyChain); GotoLocation(Drawer); OpenObject(Drawer); PutObject(KeyChain,Drawer); CloseObject(Drawer) | GotoLocation(DiningTable); PickupObject(KeyChain); GotoLocation(Drawer); PutObject(KeyChain,Drawer)",<unparseable> | <unparseable>,0 | 0,0,1,"GotoLocation(DiningTable); PickupObject(KeyChain); GotoLocation(Drawer); OpenObject(Drawer); PutObject(KeyChain,Drawer); CloseObject(Drawer) | GotoLocation(DiningTable); PickupObject(KeyChain); GotoLocation(Drawer); PutObject(KeyChain,Drawer)",1 | 1,1,0,candidate_fixed
shard_0_cf_0367,Drawer,shard_0_exp0_3799 | shard_0_exp0_3798,closed | open,"GotoLocation(Dresser); PickupObject(Pen); GotoLocation(Drawer); OpenObject(Drawer); PutObject(Pen,Drawer); CloseObject(Drawer) | GotoLocation(Dresser); PickupObject(Pen); GotoLocation(Drawer); PutObject(Pen,Drawer)",<unparseable> | <unparseable>,0 | 0,0,1,"GotoLocation(Dresser); PickupObject(Pen); GotoLocation(Drawer); OpenObject(Drawer); PutObject(Pen,Drawer); CloseObject(Drawer) | GotoLocation(Dresser); PickupObject(Pen); GotoLocation(Drawer); OpenObject(Drawer); PutObject(Pen,Drawer); CloseObject(Drawer)",1 | 0,0,1,both_not_exact
shard_0_cf_0371,Safe,shard_0_exp0_3852 | shard_0_exp0_3851,closed | open,GotoLocation(Safe); OpenObject(Safe) | GotoLocation(Safe),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Safe); OpenObject(Safe) | GotoLocation(Safe),1 | 1,1,0,candidate_fixed
shard_0_cf_0449,Drawer,shard_0_exp0_4501 | shard_0_exp0_4500,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_0_cf_0456,Fridge,shard_0_exp0_4572 | shard_0_exp0_4571,closed | open,GotoLocation(Fridge); OpenObject(Fridge) | GotoLocation(Fridge),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Fridge) | GotoLocation(Fridge),0 | 1,0,1,both_not_exact
shard_0_cf_0459,Drawer,shard_0_exp0_4601 | shard_0_exp0_4600,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_0_cf_0460,Drawer,shard_0_exp0_4603 | shard_0_exp0_4602,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_0_cf_0461,Drawer,shard_0_exp0_4608 | shard_0_exp0_4607,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_0_cf_0462,Drawer,shard_0_exp0_4610 | shard_0_exp0_4609,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_0_cf_0463,Drawer,shard_0_exp0_4616 | shard_0_exp0_4615,closed | open,"GotoLocation(Dresser); PickupObject(Watch); GotoLocation(Drawer); OpenObject(Drawer); PutObject(Watch,Drawer); CloseObject(Drawer) | GotoLocation(Dresser); PickupObject(Watch); GotoLocation(Drawer); PutObject(Watch,Drawer)",<unparseable> | <unparseable>,0 | 0,0,1,"GotoLocation(Dresser); PickupObject(Watch); GotoLocation(Drawer); OpenObject(Drawer); PutObject(Watch,Drawer); CloseObject(Drawer) | GotoLocation(Dresser); PickupObject(Watch); GotoLocation(Drawer); PutObject(Watch,Drawer)",1 | 1,1,0,candidate_fixed
shard_0_cf_0470,Drawer,shard_0_exp0_4706 | shard_0_exp0_4705,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer); OpenObject(Drawer),1 | 0,0,1,both_not_exact
shard_0_cf_0471,Drawer,shard_0_exp0_4711 | shard_0_exp0_4710,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_0_cf_0472,Drawer,shard_0_exp0_4715 | shard_0_exp0_4714,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_0_cf_0506,Drawer,shard_0_exp0_5136 | shard_0_exp0_5135,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_0_cf_0508,Drawer,shard_0_exp0_5201 | shard_0_exp0_5200,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_0_cf_0509,Safe,shard_0_exp0_5211 | shard_0_exp0_5210,closed | open,GotoLocation(Safe); OpenObject(Safe) | GotoLocation(Safe),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Safe); OpenObject(Safe) | GotoLocation(Safe); OpenObject(Safe),1 | 0,0,1,both_not_exact
shard_0_cf_0510,Drawer,shard_0_exp0_5216 | shard_0_exp0_5215,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_0_cf_0511,Drawer,shard_0_exp0_5223 | shard_0_exp0_5222,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_0_cf_0531,Drawer,shard_0_exp0_5375 | shard_0_exp0_5374,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_0_cf_0532,Drawer,shard_0_exp0_5380 | shard_0_exp0_5379,closed | open,"GotoLocation(Dresser); PickupObject(RemoteControl); GotoLocation(Drawer); OpenObject(Drawer); PutObject(RemoteControl,Drawer); CloseObject(Drawer) | GotoLocation(Dresser); PickupObject(RemoteControl); GotoLocation(Drawer); PutObject(RemoteControl,Drawer)",<unparseable> | <unparseable>,0 | 0,0,1,"GotoLocation(Dresser); PickupObject(RemoteControl); GotoLocation(Drawer); OpenObject(Drawer); PutObject(RemoteControl,Drawer); CloseObject(Drawer) | GotoLocation(Dresser); PickupObject(RemoteControl); GotoLocation(Drawer); PutObject(RemoteControl,Drawer)",1 | 1,1,0,candidate_fixed
shard_0_cf_0549,Drawer,shard_0_exp0_5522 | shard_0_exp0_5521,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_0_cf_0550,Drawer,shard_0_exp0_5524 | shard_0_exp0_5523,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer); OpenObject(Drawer),1 | 0,0,1,both_not_exact
